2017-10-20 09:10:49,020  INFO AnnotationConfigEmbeddedWebApplicationContext:984 - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@130f889: startup date [Thu Oct 19 16:59:17 CST 2017]; root of context hierarchy
2017-10-20 09:10:49,254  INFO DefaultLifecycleProcessor:358 - Stopping beans in phase 2147483647
2017-10-20 09:10:49,367  INFO AnnotationMBeanExporter:449 - Unregistering JMX-exposed beans on shutdown
2017-10-20 09:11:00,354  INFO SpearApplication:48 - Starting SpearApplication on maweiyideMackBook-Pro with PID 92185 (/Users/maweiyi/WriteCode/spear/target/classes started by maweiyi in /Users/maweiyi/WriteCode/spear)
2017-10-20 09:11:00,357  INFO SpearApplication:593 - No active profile set, falling back to default profiles: default
2017-10-20 09:11:00,518  INFO AnnotationConfigEmbeddedWebApplicationContext:583 - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@130f889: startup date [Fri Oct 20 09:11:00 CST 2017]; root of context hierarchy
2017-10-20 09:11:00,845  INFO Version:30 - HV000001: Hibernate Validator 5.3.5.Final
2017-10-20 09:11:02,011  INFO DefaultListableBeanFactory:828 - Overriding bean definition for bean 'dataSource' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Generic; factoryMethodName=dataSource; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Generic.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Tomcat; factoryMethodName=dataSource; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Tomcat.class]]
2017-10-20 09:11:02,141  INFO RepositoryConfigurationDelegate:165 - Multiple Spring Data modules found, entering strict repository configuration mode!
2017-10-20 09:11:02,240  INFO DefaultListableBeanFactory:828 - Overriding bean definition for bean 'propertySourcesPlaceholderConfigurer' with a different definition: replacing [Root bean: class [org.springframework.boot.autoconfigure.context.PropertyPlaceholderAutoConfiguration]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=propertySourcesPlaceholderConfigurer; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/context/PropertyPlaceholderAutoConfiguration.class]] with [Root bean: class [org.springframework.boot.autoconfigure.session.RedisSessionConfiguration$SpringBootRedisHttpSessionConfiguration]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=propertySourcesPlaceholderConfigurer; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/session/RedisSessionConfiguration$SpringBootRedisHttpSessionConfiguration.class]]
2017-10-20 09:11:03,277  INFO TomcatEmbeddedServletContainer:89 - Tomcat initialized with port(s): 8080 (http)
2017-10-20 09:11:03,452  INFO ContextLoader:276 - Root WebApplicationContext: initialization completed in 2946 ms
2017-10-20 09:11:03,727  INFO ServletRegistrationBean:190 - Mapping servlet: 'dispatcherServlet' to [/]
2017-10-20 09:11:03,731  INFO FilterRegistrationBean:258 - Mapping filter: 'characterEncodingFilter' to: [/*]
2017-10-20 09:11:03,732  INFO FilterRegistrationBean:258 - Mapping filter: 'springSessionRepositoryFilter' to: [/*]
2017-10-20 09:11:03,732  INFO FilterRegistrationBean:258 - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2017-10-20 09:11:03,733  INFO FilterRegistrationBean:258 - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2017-10-20 09:11:03,733  INFO FilterRegistrationBean:258 - Mapping filter: 'requestContextFilter' to: [/*]
2017-10-20 09:11:04,618  INFO RequestMappingHandlerAdapter:534 - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@130f889: startup date [Fri Oct 20 09:11:00 CST 2017]; root of context hierarchy
2017-10-20 09:11:04,678  INFO RequestMappingHandlerMapping:543 - Mapped "{[/install],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView me.maweiyi.spear.controller.InstallController.install()
2017-10-20 09:11:04,679  INFO RequestMappingHandlerMapping:543 - Mapped "{[/install],methods=[POST]}" onto public me.maweiyi.spear.R me.maweiyi.spear.controller.InstallController.doInstall(javax.servlet.http.HttpServletRequest,me.maweiyi.spear.domain.Option)
2017-10-20 09:11:04,681  INFO RequestMappingHandlerMapping:543 - Mapped "{[/admin/login],methods=[GET]}" onto public java.lang.String me.maweiyi.spear.controller.admin.AuthController.login(javax.servlet.http.HttpServletResponse)
